ID,storySignifier,domain,outcomeXexpect,emotion,rating,model,study
51,G6D2GL,social_old,GL,Contentment,3,Human,1
51,G6D2GL,social_old,GL,Pleasure,2,Human,1
51,G6D2GL,social_old,GL,Joy,5,Human,1
51,G6D2GL,social_old,GL,Pride,3,Human,1
51,G6D2GL,social_old,GL,Amusement,0,Human,1
51,G6D2GL,social_old,GL,Interest,1,Human,1
51,G6D5BH,project,BH,Anger,0,Human,1
51,G6D5BH,project,BH,Hate,0,Human,1
51,G6D5BH,project,BH,Contempt,0,Human,1
51,G6D5BH,project,BH,Disgust,0,Human,1
51,G6D5BH,project,BH,Fear,0,Human,1
51,G6D5BH,project,BH,Disappointment,5,Human,1
51,G6D5BH,project,BH,Shame,4,Human,1
51,G6D5BH,project,BH,Regret,4,Human,1
51,G6D5BH,project,BH,Guilt,3,Human,1
51,G6D5BH,project,BH,Sadness,4,Human,1
51,G6D5BH,project,BH,Compassion,0,Human,1
51,G6D5BH,project,BH,Relief,0,Human,1
